customer_tweet_id,customer_text,brand_tweet_id,brand_text,customer_created_at,brand_created_at,raw_customer_text,raw_brand_text,intent,secondary_intent,secondery_intent,gold_intent,gold_secondary_intent,gold_escalation,gold_escalation_reason
313489,Any update regarding my order... Not delivered but shown as delivered,313490,You can check with us here: https://t.co/vlvfJr4nN9 we'll update you. ^SG,Sun Oct 08 08:11:51 +0000 2017,Sun Oct 08 10:19:28 +0000 2017,@AmazonHelp Any update regarding my order... Not delivered but shown as delivered,@190857 You can check with us here: https://t.co/vlvfJr4nN9  we'll update you. ^SG,order_not_delivered,order_status_inquiry,order_status_inquiry,order_not_delivered,order_status_inquiry,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
124067,ordered a gift last Friday for a baby shower this weekend but it never arrived 🚨🆘 Prime has failed me.,124065,Oh no! I'm so sorry your order never arrived! What was the delivery date provided at checkout? ^JO,Fri Nov 24 01:29:23 +0000 2017,Fri Nov 24 01:31:00 +0000 2017,"@115821 ordered a gift last Friday for a baby shower this weekend but it never arrived 🚨🆘 
Prime has failed me.",@143747 Oh no! I'm so sorry your order never arrived! What was the delivery date provided at checkout? ^JO,order_not_delivered,Prime Membership,Prime Membership,order_not_delivered,Prime Membership,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
120218,so you think its OK that your courier has not delivered my Fire TV stick but has activated it and making purchases via my account? After 45 minutes on the phone your still trying to convince me its out for delivery! OMG! #DontTrustAmazon,120217,"I'm sorry for any frustration with this delivery! Just to confirm, who is the carrier for this package? You can view that here: https://t.co/aaDyEz1VgE. ^DG",Thu Nov 23 22:41:18 +0000 2017,Thu Nov 23 22:44:27 +0000 2017,@115830 so you think its OK that your courier has not delivered my Fire TV stick but has activated it and making purchases via my account? After 45 minutes on the phone your still trying to convince me its out for delivery! OMG! #DontTrustAmazon,"@142687 I'm sorry for any frustration with this delivery! Just to confirm, who is the carrier for this package? You can view that here: https://t.co/aaDyEz1VgE. ^DG",order_not_delivered,order_status_inquiry,order_status_inquiry,order_not_delivered,order_status_inquiry,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
38108,My concern is When my package arrived in correct city-delhi in first time then why it's moved to wrong non delivery city-haryana. Explain it https://t.co/AlvIWGv7wH,38109,"Please do not worry, the packages move according to the fulfillment center. It will be delivered as per estimates. ^HN",Wed Nov 01 15:26:13 +0000 2017,Wed Nov 01 15:34:56 +0000 2017,@AmazonHelp My concern is When my package arrived in correct city-delhi in first time then why it's moved to wrong non delivery city-haryana. Explain it https://t.co/AlvIWGv7wH,"@124276 Please do not worry, the packages move according to the fulfillment center. It will be delivered as per estimates. ^HN",order_not_delivered,order_status_inquiry,order_status_inquiry,order_not_delivered,order_status_inquiry,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
131718,"Today I got sms about my order is delivered by agent but nobody came to deliver here. It is serious Amazon, I already paid for order. Please look into matter https://t.co/K5pUdGAN5l",131717,That's strange! I'm sorry for the trouble with the delivery. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 & we'll have this checked right away. ^EM,Fri Nov 24 06:59:45 +0000 2017,Fri Nov 24 07:32:28 +0000 2017,"@AmazonHelp @115850  Today I got sms about my order is delivered by agent but nobody came to deliver here. It is serious Amazon, I already paid for order. Please look into matter https://t.co/K5pUdGAN5l",@145703 That's strange! I'm sorry for the trouble with the delivery. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 &amp; we'll have this checked right away. ^EM,order_not_delivered,payment_issue,payment_issue,order_not_delivered,payment_issue,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
236213,Hey @AmazonHelp. How do I get an item resent if it never arrived without you recharging me to return said item that never got here?,236210,So sorry for the missing item! Let's see what options we have to get this sorted: https://t.co/hApLpMlfHN ^JZ,Thu Oct 05 13:59:21 +0000 2017,Thu Oct 05 14:05:26 +0000 2017,Hey @AmazonHelp. How do I get an item resent if it never arrived without you recharging me to return said item that never got here?,@172254 So sorry for the missing item! Let's see what options we have to get this sorted: https://t.co/hApLpMlfHN ^JZ,order_not_delivered,return_request,return_request,order_not_delivered,return_request,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
205058,I still have not received my codes. Pre ordered back in April.,205057,Have you checked your spam folder as you should have received it by now? ^KM,Wed Oct 04 08:37:41 +0000 2017,Wed Oct 04 08:44:29 +0000 2017,@AmazonHelp I still have not received my codes. Pre ordered back in April.,@164569 Have you checked your spam folder as you should have received it by now? ^KM,order_not_delivered,order_status_inquiry,order_status_inquiry,order_not_delivered,order_status_inquiry,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
197915,I haven't received my order Tracking #: [PHONE] N the same happened to my order from mumbai. And now your site doesn't provide COD.,197914,"here: https://t.co/beaaDm0muc, we'll get back to you soon. (2/2)^AP",Wed Oct 04 13:53:25 +0000 2017,Wed Oct 04 14:02:01 +0000 2017,"@AmazonHelp I haven't received my order Tracking #: 447189389074
N the same happened to my order from mumbai. And now your site doesn't provide COD.","@162534 here: https://t.co/beaaDm0muc, we'll get back to you soon. (2/2)^AP",order_not_delivered,order_status_inquiry,order_status_inquiry,order_not_delivered,order_status_inquiry,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
320613,the book was not delivered but this your courier tracking status. We were in hospital from 17th Sep to 01st Oct 2017. Please help https://t.co/8uScUVITtH,320611,Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Sat Oct 07 11:43:49 +0000 2017,Sat Oct 07 12:24:00 +0000 2017,@115850 the book was not delivered but this your courier tracking status. We were in hospital from 17th Sep to 01st Oct 2017. Please help https://t.co/8uScUVITtH,@192391 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,order_not_delivered,order_status_inquiry,order_status_inquiry,order_not_delivered,order_status_inquiry,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
21490,frnd ordered kindle wich was not delivered.He canceled order & U agreed. Bt aftr a mnth U r denying to give refund. Disappointing,21489,here: https://t.co/beaaDm0muc and I’ll contact you soon. 2/2 ^AH,Wed Nov 01 07:18:39 +0000 2017,Wed Nov 01 07:49:25 +0000 2017,@115850 frnd ordered kindle wich was not delivered.He canceled order &amp; U agreed. Bt aftr a mnth U r denying to give refund. Disappointing,@120693 here: https://t.co/beaaDm0muc and I’ll contact you soon. 2/2 ^AH,order_not_delivered,wrong_item_received,wrong_item_received,order_not_delivered,wrong_item_received,ESCALATE,"High-risk scenario (order_not_delivered) requiring human verification, account authority, or supervisor de-escalation."
